target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	1802	18.5219
YAL002W	3825	3776	1440	13.4605
YAL003W	621	572	57153	3526.74
YAL005C	1929	1880	113736	2135.36
YAL007C	648	599	2579	151.969
YAL008W	597	548	713	45.924
YAL009W	780	731	512	24.722
YAL010C	1482	1433	548	13.4979
YAL011W	1878	1829	788	15.207
YAL012W	1185	1136	24416	758.624
YAL013W	1218	1169	1311	39.5839
YAL014C	768	719	1010	49.5819
YAL015C	1200	1151	828	25.3913
YAL016W	1908	1859	4961	94.1934
YAL017W	4071	4022	2537	22.2643
YAL018C	978	929	4	0.151976
YAL019W	3396	3347	4303	45.3781
YAL020C	1002	953	825	30.5557
YAL021C	2514	2465	3388	48.5129
YAL022C	1554	1505	1788	41.9336
YAL023C	2280	2231	13209	208.978
YAL024C	4308	4259	1189	9.85382
YAL025C	921	872	1375	55.6566
YAL026C	4068	4019	5407	47.4864
YAL027W	786	737	319	15.2776
YAL028W	1587	1538	405	9.29457
YAL029C	4416	4367	5005	40.4531
YAL030W	354	305	527	60.9876
YAL031C	2283	2234	878	13.8721
YAL032C	1140	1091	702	22.7114
YAL033W	522	473	503	37.5351
YAL034C	1242	1193	505	14.9411
YAL034W-A	870	821	216	9.28627
YAL035W	3009	2960	24334	290.17
YAL036C	1110	1061	3993	132.836
YAL037C-A	93	44	6	4.81315
YAL037W	804	755	111	5.18927
YAL038W	1503	1454	322483	7828.4
YAL039C	810	761	1050	48.7007
YAL040C	1743	1694	1004	20.9195
YAL041W	2565	2516	2410	33.8094
YAL042W	1248	1199	7326	215.664
YAL043C	2358	2309	2159	33.0034
YAL044C	513	464	2138	162.637
YAL044W-A	333	284	342	42.5048
YAL046C	357	308	354	40.568
YAL047C	1869	1820	528	10.2398
YAL048C	1989	1940	489	8.89688
YAL049C	741	692	887	45.2427
YAL051W	3144	3095	1367	15.5897
YAL053W	2352	2303	2279	34.9286
YAL054C	2142	2093	384	6.47579
YAL055W	543	494	238	17.0052
YAL056W	2643	2594	1523	20.7234
YAL058W	1509	1460	924	22.3383
YAL059W	639	590	1004	60.0637
YAL060W	1149	1100	2901	93.0863
YAL061W	1254	1205	713	20.8849
YAL062W	1374	1325	662.146	17.6388
YAL063C	3969	3920	537.158	4.83668
YAL063C-A	291	242	9	1.31268
YAL064C-A	381	332	56.3309	5.98879
YAL064W	285	236	10	1.49561
YAL064W-B	381	332	23.9765	2.54905
YAL065C	387	338	28.0901	2.93337
YAL067C	1782	1733	225	4.58263
YAL067W-A	228	179	19.5593	3.85684
YAL068C	363	314	1.97594	0.222113
YAR002C-A	660	611	3708	214.205
YAR002W	1620	1571	2152	48.35
YAR003W	1281	1232	774	22.1749
YAR007C	1866	1817	2823	54.8386
YAR008W	828	779	415	18.8036
YAR009C	3591	3542	16066.5	160.104
YAR010C	1323	1274	3965.35	109.861
YAR014C	2130	2081	2162	36.6703
YAR015W	921	872	2460	99.5748
YAR018C	1308	1259	725	20.3256
YAR019C	2925	2876	683	8.38229
YAR020C	168	119	20	5.93217
YAR023C	540	491	114	8.19509
YAR027W	708	659	1017	54.4711
YAR028W	705	656	280	15.0655
YAR029W	225	176	66	13.2362
YAR031W	897	848	287.902	11.9834
YAR033W	705	656	255.774	13.7621
YAR035C-A	81	32	6	6.61808
YAR035W	2064	2015	298	5.22002
YAR042W	3567	3518	2564	25.7248
YAR050W	4614	4565	474.669	3.67012
YAR064W	300	251	34.6667	4.87494
YAR066W	612	563	74.8	4.68947
YAR068W	486	437	306.414	24.749
YAR071W	1404	1355	673.671	17.5485
YBL001C	315	266	1259	167.061
YBL002W	396	347	5546	564.132
YBL003C	399	350	6123.49	617.535
YBL004W	7482	7433	13592	64.5431
YBL005W	2931	2882	3288	40.2688
YBL005W-A	1323	1274	2552.35	70.7132
YBL005W-B	5268	5219	38999.7	263.758
YBL006C	543	494	1516	108.319
YBL007C	3735	3686	13398	128.297
YBL008W	2523	2474	1476	21.058
YBL008W-A	240	191	19	3.51116
YBL009W	2031	1982	897	15.9742
YBL010C	843	794	231	10.2689
YBL011W	2280	2231	5518	87.2997
YBL013W	1206	1157	234	7.1386
YBL014C	2685	2636	1585	21.2234
YBL015W	1581	1532	729	16.7957
YBL016W	1062	1013	640	22.2998
YBL017C	4740	4691	8320	62.602
YBL018C	402	353	814	81.3917
YBL019W	1563	1514	487	11.3536
YBL020W	1725	1676	1904	40.0981
YBL021C	435	386	351	32.096
YBL022C	3402	3353	9076	95.5414
YBL023C	2607	2558	2209	30.4808
YBL024W	2055	2006	5904	103.883
YBL025W	438	389	173	15.6974
YBL026W	288	239	807	119.181
YBL027W	570	521	46164.4	3127.52
YBL028C	321	272	967	125.484
YBL029C-A	285	236	176	26.3228
YBL029W	1131	1082	140	4.567
YBL030C	957	908	6031	234.441
YBL031W	1017	968	335	12.2152
YBL032W	1146	1097	3665	117.923
YBL033C	1038	989	3417	121.949
YBL034C	4542	4493	1134	8.90855
YBL035C	2118	2069	1054	17.9809
YBL036C	774	725	1575	76.6784
YBL037W	3078	3029	1711	19.938
YBL038W	699	650	1359	73.7967
YBL039C	1740	1691	12214	254.944
YBL039W-B	180	131	74	19.9384
YBL040C	660	611	1361	78.6226
YBL041W	726	677	3677	191.706
YBL042C	1920	1871	1499	28.2786
YBL043W	774	725	16	0.778955
YBL044W	369	320	2	0.220603
YBL045C	1374	1325	2242	59.7242
YBL046W	1326	1277	664	18.353
YBL047C	4146	4097	9357	80.6123
YBL049W	417	368	114	10.9342
YBL050W	879	830	2052	87.263
YBL051C	2007	1958	3898	70.2684
YBL052C	2496	2447	1303	18.7949
YBL054W	1578	1529	767	17.7059
YBL055C	1257	1208	1476	43.1271
YBL056W	1407	1358	4983	129.515
YBL057C	627	578	1243	75.9056
YBL058W	1272	1223	4787	138.155
YBL059C-A	330	281	296	37.1806
YBL059W	582	533	249	16.4893
YBL060W	2064	2015	550	9.63426
YBL061C	2091	2042	2015	34.8297
YBL063W	3336	3287	948	10.1798
YBL064C	786	737	3443	164.892
YBL066C	3447	3398	816	8.47613
YBL067C	2244	2195	2921	46.9708
YBL068W	981	932	1610	60.9734
YBL069W	1290	1241	1038	29.5227
YBL071C-B	99	50	1	0.705928
YBL071W-A	249	200	268	47.2972
YBL072C	603	554	46669.5	2973.41
YBL074C	1068	1019	439	15.2062
YBL075C	1950	1901	1286	23.8775
YBL076C	3219	3170	43876	488.538
YBL078C	354	305	88	10.1839
YBL079W	4509	4460	5768	45.6479
YBL080C	1626	1577	566	12.6682
YBL081W	1107	1058	523.32	17.4587
YBL082C	1377	1328	1619	43.0308
YBL084C	2277	2228	673.765	10.6739
YBL085W	2943	2894	2565	31.2838
YBL086C	1401	1352	718	18.7447
YBL087C	414	365	20120.4	1945.69
YBL088C	8364	8315	2332	9.89913
YBL089W	1380	1331	550	14.5853
YBL090W	534	485	764	55.601
YBL091C	1266	1217	4696	136.197
YBL091C-A	528	479	434	31.9805
YBL092W	393	344	56652	5812.83
YBL093C	663	614	1185	68.1209
YBL095W	813	764	510	23.5617
YBL097W	2265	2216	552	8.79225
YBL098W	1383	1334	538	14.235
YBL099W	1638	1589	10637	236.279
YBL100W-A	1317	1268	0	0
YBL100W-B	5313	5264	1486.2	9.96536
YBL100W-C	120	71	4	1.98853
YBL101C	3354	3305	1535	16.3933
YBL102W	648	599	1382	81.4351
YBL103C	1461	1412	860	21.4978
YBL104C	3117	3068	1610	18.5226
YBL105C	3456	3407	2407	24.9364
YBL106C	3033	2984	1027	12.1479
YBL107C	591	542	367	23.9
YBL108C-A	129	80	45.921	20.2606
YBL111C	2004	1955	243.386	4.3942
YBL112C	318	269	0	0
YBL113C	2379	2330	487.328	7.38237
YBR001C	2343	2294	1803	27.7417
YBR002C	861	812	869	37.7741
YBR003W	1422	1373	1309	33.6511
YBR004C	1302	1253	968	27.2681
YBR005W	642	593	397	23.6301
YBR006W	1494	1445	593	14.485
YBR007C	2211	2162	1313	21.4358
YBR008C	1647	1598	15867	350.468
YBR009C	312	263	6433.36	863.402
YBR010W	411	362	5001.65	487.681
YBR011C	864	815	29939	1296.61
YBR012W-A	1323	1274	2036.24	56.4145
YBR012W-B	5271	5222	6944.84	46.9414
YBR013C	390	341	183	18.9421
YBR014C	612	563	776	48.6501
YBR015C	1794	1745	4102	82.9719
YBR016W	387	338	1036	108.187
YBR017C	2757	2708	5044	65.7441
YBR018C	1101	1052	64	2.14731
YBR019C	2100	2051	292	5.02514
YBR020W	1587	1538	220	5.0489
YBR021W	1902	1853	611	11.6385
YBR022W	534	485	448	32.6037
YBR023C	3498	3449	4034	41.2832
YBR024W	906	857	391	16.1037
YBR025C	1185	1136	22425	696.762
YBR026C	1143	1094	1751	56.4936
YBR028C	1578	1529	905	20.8916
YBR029C	1374	1325	2494	66.4372
YBR030W	1659	1610	1047	22.9536
YBR031W	1089	1040	59532.2	2020.46
YBR033W	2760	2711	903	11.7568
YBR034C	1047	998	2561	90.5753
YBR035C	687	638	2375	131.393
YBR036C	1233	1184	3058	91.1625
YBR037C	888	839	936	39.3772
YBR038W	2892	2843	2077	25.7864
YBR039W	936	887	3046	121.21
YBR040W	897	848	9	0.374608
YBR041W	2010	1961	1965	35.3684
YBR042C	1194	1145	1317	40.5986
YBR043C	2070	2021	1843	32.1877
YBR044C	1719	1670	960	20.2902
YBR045C	1920	1871	786	14.8279
YBR046C	1005	956	1322	48.8095
YBR047W	528	479	425	31.3173
YBR048W	471	422	22508.8	1882.66
YBR049C	2433	2384	6754	99.9966
YBR050C	1017	968	342	12.4704
YBR052C	633	584	2135	129.037
YBR053C	1077	1028	1107	38.0089
YBR054W	1035	986	2173	77.7881
YBR055C	2700	2651	1433	19.0795
YBR056W	1506	1457	1599	38.7364
YBR056W-A	201	152	180	41.7984
YBR057C	1101	1052	1189	39.893
YBR058C	2346	2297	2599	39.937
YBR058C-A	243	194	856	155.741
YBR059C	3327	3278	3059	32.9383
YBR060C	1863	1814	1786	34.7516
YBR061C	933	884	1021	40.7666
YBR062C	543	494	544	38.8689
YBR063C	1215	1166	612	18.5261
YBR065C	1095	1046	641	21.63
YBR066C	663	614	955	54.8992
YBR067C	633	584	9447	570.968
YBR068C	1830	1781	9095	180.248
YBR069C	1860	1811	7547	147.091
YBR070C	714	665	687	36.4641
YBR071W	636	587	968	58.206
YBR072C-A	162	113	2	0.624715
YBR072W	645	596	1309	77.5218
YBR073W	2877	2828	2871	35.8331
YBR074W	2931	2882	3364	41.1996
YBR076W	1065	1016	327	11.3602
YBR077C	489	440	341	27.3547
YBR078W	1290	1241	20558	584.709
YBR079C	2895	2846	13336	165.395
YBR080C	2277	2228	3800	60.2004
YBR081C	3999	3950	2079	18.5775
YBR082C	447	398	6791	602.256
YBR083W	1461	1412	838	20.9479
YBR084C-A	570	521	30514.6	2067.28
YBR084W	2928	2879	12826	157.246
YBR085C-A	258	209	934	157.736
YBR085W	924	875	343	13.8362
YBR086C	2841	2792	7090	89.6317
YBR087W	1065	1016	1183	41.0981
YBR088C	777	728	2974	144.192
YBR089C-A	300	251	1107.84	155.787
YBR090C	369	320	63.1643	6.9671
YBR091C	330	281	243	30.5232
YBR092C	1404	1355	4706.74	122.606
YBR093C	1404	1355	780.939	20.3427
YBR094W	2262	2213	1655	26.3966
YBR095C	1293	1244	854	24.2308
YBR096W	693	644	1738	95.2565
YBR097W	4365	4316	1241	10.1489
YBR098W	2076	2027	2964	51.6125
YBR101C	873	824	10715	458.982
YBR102C	2262	2213	1907	30.4158
YBR103W	1608	1559	1001	22.6631
YBR104W	990	941	1114	41.7856
YBR105C	1089	1040	1619	54.947
YBR106W	567	518	10904	742.996
YBR107C	738	689	397	20.3377
YBR108W	2844	2795	1082	13.6639
YBR109C	444	395	2890	258.245
YBR110W	1350	1301	1490	40.424
YBR111C	696	647	1688	92.0871
YBR111W-A	291	242	311	45.3603
YBR112C	2901	2852	2992.37	37.0336
YBR114W	2373	2324	1215	18.4532
YBR115C	4179	4130	9030	77.1735
YBR117C	2046	1997	643	11.3648
YBR118W	1377	1328	496806	13204.4
YBR119W	897	848	504	20.9781
YBR120C	489	440	332	26.6328
YBR121C	2004	1955	25094	453.058
YBR122C	534	485	1072	78.016
YBR123C	1950	1901	871	16.1721
YBR125C	1182	1133	1162	36.1999
YBR126C	1488	1439	7456	182.884
YBR126W-A	207	158	728	162.632
YBR127C	1554	1505	24543	575.601
YBR128C	1035	986	278	9.95173
YBR129C	987	938	1002	37.7047
YBR130C	1278	1229	2216	63.6427
YBR131W	2115	2066	581	9.92605
YBR132C	1791	1742	1044	21.1535
YBR133C	2484	2435	2507	36.3401
YBR135W	453	404	818.191	71.4832
YBR136W	7107	7058	2477	12.3873
YBR137W	540	491	768	55.2091
YBR138C	1575	1526	388	8.97445
YBR139W	1527	1478	1941	46.3534
YBR140C	9279	9230	6357	24.3098
YBR141C	1014	965	466	17.0447
YBR142W	2322	2273	2970	46.1198
YBR143C	1314	1265	10637	296.797
YBR145W	1056	1007	855	29.9687
YBR146W	837	788	1594	71.3991
YBR147W	891	842	130	5.44957
YBR148W	1830	1781	187	3.70602
YBR149W	1035	986	3091	110.65
YBR150C	3285	3236	1763.82	19.2387
YBR151W	951	902	1981	77.5191
YBR152W	876	827	344	14.6819
YBR153W	735	686	449	23.1022
YBR154C	648	599	3596	211.896
YBR155W	1158	1109	1812	57.671
YBR156C	2097	2048	628	10.8233
YBR157C	768	719	590	28.9637
YBR158W	1650	1601	3701	81.594
YBR159W	1044	995	3449	122.349
YBR160W	897	848	1225	50.9883
YBR161W	1131	1082	664	21.6606
YBR162C	1368	1319	14814	396.422
YBR162W-A	198	149	784	185.721
YBR163W	1758	1709	1215	25.0937
YBR164C	552	503	1651	115.854
YBR165W	834	785	498	22.3919
YBR166C	1359	1310	1186	31.9554
YBR167C	423	374	352	33.2202
YBR168W	1242	1193	432	12.7813
YBR169C	2082	2033	6425	111.549
YBR170C	1743	1694	1740	36.2549
YBR171W	621	572	1384	85.4025
YBR172C	2223	2174	1846	29.9711
YBR173C	447	398	1310	116.177
YBR175W	948	899	638	25.0491
YBR176W	939	890	892	35.3757
YBR177C	1356	1307	3782	102.135
YBR179C	2568	2519	2009	28.1503
YBR180W	1719	1670	160	3.38169
YBR181C	711	662	43997.1	2345.83
YBR182C	1359	1310	261	7.03234
YBR182C-A	195	146	13	3.14283
YBR183W	951	902	234	9.15672
YBR184W	1572	1523	96	2.22486
YBR185C	837	788	622	27.8609
YBR186W	1695	1646	246	5.27516
YBR187W	843	794	3933	174.837
YBR188C	423	374	228	21.5176
YBR189W	588	539	53112.7	3478.08
YBR191W	483	434	30859	2509.71
YBR192W	1134	1085	601	19.5513
YBR193C	672	623	424	24.022
YBR194W	372	323	159	17.375
YBR195C	1269	1220	556	16.0859
YBR196C	1665	1616	64424	1407.14
YBR196C-A	150	101	31	10.8336
YBR196C-B	105	56	38	23.9511
YBR197C	654	605	598	34.888
YBR198C	2397	2348	2990	44.9473
YBR199W	1395	1346	3464	90.8371
YBR200W	1656	1607	1346	29.5638
YBR200W-A	165	116	4	1.21712
YBR201C-A	204	155	45	10.2473
YBR201W	636	587	277	16.6561
YBR202W	2538	2489	2258	32.0206
YBR203W	2775	2726	324	4.19517
YBR204C	1128	1079	517	16.9122
YBR205W	1215	1166	2959	89.573
YBR207W	1398	1349	2904	75.9828
YBR208C	5508	5459	2532	16.3712
YBR210W	429	380	446	41.4268
YBR211C	975	926	601	22.9084
YBR212W	2019	1970	2024	36.2639
YBR213W	825	776	397	18.0576
YBR214W	1584	1535	1337	30.7435
YBR215W	1878	1829	712	13.7403
YBR216C	2025	1976	1149	20.5241
YBR217W	561	512	154	10.6165
YBR218C	3543	3494	11887.5	120.088
YBR219C	384	335	27.1079	2.85616
YBR220C	1683	1634	1328.89	28.7057
YBR221C	1101	1052	13445	451.103
YBR221W-A	105	56	6	3.78176
YBR222C	1632	1583	2212	49.3213
YBR223C	1635	1586	472	10.5044
YBR225W	2703	2654	1015	13.4988
YBR227C	1563	1514	1463	34.1074
YBR228W	915	866	447	18.2188
YBR229C	2865	2816	3407	42.7042
YBR230C	405	356	665	65.9329
YBR230W-A	201	152	128	29.7233
YBR231C	912	863	410	16.7689
YBR233W	1242	1193	600	17.7518
YBR233W-A	285	236	141	21.0881
YBR234C	1155	1106	3403	108.602
YBR235W	3363	3314	1621	17.2648
YBR236C	1311	1262	1246	34.8489
YBR237W	2550	2501	935	13.1956
YBR238C	2196	2147	2027	33.3236
YBR239C	1590	1541	602	13.7887
YBR240C	1353	1304	51	1.38046
YBR241C	1467	1418	498	12.3961
YBR242W	717	668	916	48.4005
YBR243C	1347	1298	2647	71.9797
YBR244W	489	440	5171	414.813
YBR245C	3390	3341	3808	40.2301
YBR246W	1164	1115	1064	33.682
YBR247C	1452	1403	2135	53.7119
YBR248C	1659	1610	3107	68.1155
YBR249C	1113	1064	8628	286.219
YBR250W	1572	1523	176	4.0789
YBR251W	924	875	983	39.653
YBR252W	444	395	1304	116.523
YBR253W	366	317	368	40.975
YBR254C	528	479	539	39.7177
YBR255C-A	363	314	298	33.4979
YBR255W	2085	2036	1055	18.2896
YBR256C	717	668	2495	131.833
YBR257W	840	791	432	19.2769
YBR258C	429	380	192	17.834
YBR259W	2067	2018	609	10.6519
YBR260C	2001	1952	1241	22.44
YBR261C	699	650	1584	86.0147
YBR262C	321	272	551	71.5012
YBR263W	1473	1424	9803	242.985
YBR264C	600	551	620	39.7165
YBR265W	963	914	1561	60.282
YBR267W	1182	1133	1221	38.0379
YBR268W	318	269	577	75.7102
YBR269C	417	368	824	79.0333
YBR270C	1638	1589	235	5.22005
YBR271W	1260	1211	739	21.5393
YBR272C	1443	1394	637	16.129
YBR273C	1311	1262	1501	41.9809
