target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	3392	48.1556
YAL002W	3825	3776	3644	47.0477
YAL003W	621	572	17014	1450.11
YAL005C	1929	1880	214921	5573.31
YAL007C	648	599	1390	113.13
YAL008W	597	548	821	73.0389
YAL009W	780	731	553	36.8807
YAL010C	1482	1433	884	30.0744
YAL011W	1878	1829	816	21.7504
YAL012W	1185	1136	10046	431.128
YAL013W	1218	1169	1093	45.5824
YAL014C	768	719	1066	72.2803
YAL015C	1200	1151	773	32.7413
YAL016W	1908	1859	7422	194.64
YAL017W	4071	4022	11019	133.565
YAL018C	978	929	13	0.682212
YAL019W	3396	3347	1122	16.3429
YAL020C	1002	953	693	35.4513
YAL021C	2514	2465	4607	91.1156
YAL022C	1554	1505	1710	55.3925
YAL023C	2280	2231	9682	211.571
YAL024C	4308	4259	1226	14.0338
YAL025C	921	872	152	8.49804
YAL026C	4068	4019	4001	48.5336
YAL027W	786	737	363	24.0121
YAL028W	1587	1538	2136	67.7075
YAL029C	4416	4367	3577	39.9326
YAL030W	354	305	497	79.4416
YAL031C	2283	2234	2739	59.7724
YAL032C	1140	1091	1108	49.5116
YAL033W	522	473	235	24.2213
YAL034C	1242	1193	3397	138.818
YAL034W-A	870	821	214	12.7076
YAL035W	3009	2960	11036	181.766
YAL036C	1110	1061	924	42.4569
YAL037C-A	93	44	4	4.43199
YAL037W	804	755	63	4.06804
YAL038W	1503	1454	311060	10429.7
YAL039C	810	761	2074	132.867
YAL040C	1743	1694	2177	62.6522
YAL041W	2565	2516	3163	61.2887
YAL042W	1248	1199	5181	210.662
YAL043C	2358	2309	3504	73.983
YAL044C	513	464	473	49.6975
YAL044W-A	333	284	223	38.2805
YAL046C	357	308	166	26.2754
YAL047C	1869	1820	521	13.9559
YAL048C	1989	1940	1117	28.07
YAL049C	741	692	1116	78.623
YAL051W	3144	3095	2421	38.1352
YAL053W	2352	2303	3068	64.9461
YAL054C	2142	2093	12334	287.294
YAL055W	543	494	305	30.0999
YAL056W	2643	2594	3131	58.8443
YAL058W	1509	1460	705	23.5412
YAL059W	639	590	141	11.6509
YAL060W	1149	1100	10549	467.531
YAL061W	1254	1205	19382	784.157
YAL062W	1374	1325	1390	51.1435
YAL063C	3969	3920	947.719	11.7865
YAL063C-A	291	242	9	1.81309
YAL064C-A	381	332	162.272	23.8285
YAL064W	285	236	16	3.30521
YAL064W-B	381	332	49.0025	7.19567
YAL065C	387	338	90.6757	13.0787
YAL067C	1782	1733	60	1.68789
YAL067W-A	228	179	18.7904	5.1177
YAL068C	363	314	2.064	0.320458
YAR002C-A	660	611	1755	140.032
YAR002W	1620	1571	1373	42.6075
YAR003W	1281	1232	1002	39.6505
YAR007C	1866	1817	2438	65.414
YAR008W	828	779	101	6.32085
YAR009C	3591	3542	22751.1	313.145
YAR010C	1323	1274	6790.92	259.867
YAR014C	2130	2081	1950	45.683
YAR015W	921	872	1499	83.8063
YAR018C	1308	1259	460	17.8125
YAR019C	2925	2876	1941	32.9025
YAR020C	168	119	52.5357	21.5228
YAR023C	540	491	303	30.0852
YAR027W	708	659	2594	191.901
YAR028W	705	656	445	33.071
YAR029W	225	176	53	14.681
YAR031W	897	848	260.507	14.9767
YAR033W	705	656	386.559	28.7279
YAR035C-A	81	32	5	7.61749
YAR035W	2064	2015	784	18.9685
YAR042W	3567	3518	6738	93.3742
YAR050W	4614	4565	961.662	10.2701
YAR064W	300	251	66.918	12.9975
YAR066W	612	563	166.932	14.4551
YAR068W	486	437	346.522	38.6581
YAR071W	1404	1355	193.747	6.97088
YBL001C	315	266	654	119.864
YBL002W	396	347	4292	603.006
YBL003C	399	350	3975.7	553.78
YBL004W	7482	7433	2674	17.5384
YBL005W	2931	2882	4741	80.1987
YBL005W-A	1323	1274	6598.11	252.489
YBL005W-B	5268	5219	73640.4	687.893
YBL006C	543	494	1686	166.388
YBL007C	3735	3686	17928	237.12
YBL008W	2523	2474	702	13.8334
YBL008W-A	240	191	9	2.29721
YBL009W	2031	1982	503	12.3725
YBL010C	843	794	262	16.0869
YBL011W	2280	2231	6760	147.72
YBL013W	1206	1157	548	23.0908
YBL014C	2685	2636	1567	28.9811
YBL015W	1581	1532	4099	130.44
YBL016W	1062	1013	441	21.2237
YBL017C	4740	4691	11603.9	120.595
YBL018C	402	353	95	13.1202
YBL019W	1563	1514	865	27.8536
YBL020W	1725	1676	1340	38.9783
YBL021C	435	386	264	33.3433
YBL022C	3402	3353	8581	124.766
YBL023C	2607	2558	1904	36.2876
YBL024W	2055	2006	1342	32.6147
YBL025W	438	389	166	20.8042
YBL026W	288	239	406	82.817
YBL027W	570	521	12455.7	1165.53
YBL028C	321	272	77	13.8011
YBL029C-A	285	236	341	70.4424
YBL029W	1131	1082	216	9.73236
YBL030C	957	908	8575	460.405
YBL031W	1017	968	244	12.2887
YBL032W	1146	1097	2391	106.259
YBL033C	1038	989	3615	178.198
YBL034C	4542	4493	1400	15.1909
YBL035C	2118	2069	690	16.2585
YBL036C	774	725	631	42.431
YBL037W	3078	3029	2311	37.1957
YBL038W	699	650	1145	85.8784
YBL039C	1740	1691	1721	49.6168
YBL039W-B	180	131	84	31.2608
YBL040C	660	611	1114	88.8865
YBL041W	726	677	3235	232.958
YBL042C	1920	1871	739	19.2558
YBL043W	774	725	105	7.06062
YBL044W	369	320	10	1.5235
YBL045C	1374	1325	9488	349.1
YBL046W	1326	1277	793	30.2743
YBL047C	4146	4097	17462	207.788
YBL049W	417	368	199	26.3631
YBL050W	879	830	2024	118.884
YBL051C	2007	1958	3596	89.5362
YBL052C	2496	2447	854	17.0144
YBL054W	1578	1529	289	9.21472
YBL055C	1257	1208	800	32.286
YBL056W	1407	1358	5949	213.568
YBL057C	627	578	501	42.2573
YBL058W	1272	1223	4805	191.54
YBL059C-A	330	281	244	42.3326
YBL059W	582	533	198	18.1105
YBL060W	2064	2015	448	10.8391
YBL061C	2091	2042	1291	30.8221
YBL063W	3336	3287	1031	15.2915
YBL064C	786	737	6477	428.448
YBL066C	3447	3398	2207	31.6643
YBL067C	2244	2195	4920	109.275
YBL068W	981	932	684	35.7793
YBL069W	1290	1241	532	20.8993
YBL071C-B	99	50	1	0.975038
YBL071W-A	249	200	67	16.3319
YBL072C	603	554	15893	1398.58
YBL074C	1068	1019	498	23.8258
YBL075C	1950	1901	1966	50.4189
YBL076C	3219	3170	18985	291.973
YBL078C	354	305	598	95.5857
YBL079W	4509	4460	4381	47.8884
YBL080C	1626	1577	1101	34.0367
YBL081W	1107	1058	265	12.211
YBL082C	1377	1328	1135	41.6667
YBL084C	2277	2228	1697.43	37.1423
YBL085W	2943	2894	4361	73.4648
YBL086C	1401	1352	2779	100.208
YBL087C	414	365	3808.53	508.694
YBL088C	8364	8315	4246	24.8948
YBL089W	1380	1331	986	36.1152
YBL090W	534	485	662	66.5438
YBL091C	1266	1217	4028	161.358
YBL091C-A	528	479	747	76.0285
YBL092W	393	344	13835	1960.71
YBL093C	663	614	684	54.3099
YBL095W	813	764	921	58.7703
YBL097W	2265	2216	550	12.1
YBL098W	1383	1334	454	16.5917
YBL099W	1638	1589	24861	762.757
YBL100W-A	1317	1268	0	0
YBL100W-B	5313	5264	2200.28	20.3776
YBL100W-C	120	71	27	18.5395
YBL101C	3354	3305	7740	114.172
YBL102W	648	599	1332	108.41
YBL103C	1461	1412	1304	45.023
YBL104C	3117	3068	1461	23.216
YBL105C	3456	3407	4805	68.7564
YBL106C	3033	2984	1008	16.4685
YBL107C	591	542	237	21.3177
YBL108C-A	129	80	6.79395	4.14023
YBL111C	2004	1955	197.508	4.92527
YBL112C	318	269	4.6899	0.849968
YBL113C	2379	2330	1761.19	36.8504
YBR001C	2343	2294	7994	169.888
YBR002C	861	812	1021	61.3001
YBR003W	1422	1373	2968	105.386
YBR004C	1302	1253	1164	45.2891
YBR005W	642	593	944	77.6084
YBR006W	1494	1445	1946	65.6548
YBR007C	2211	2162	972	21.9181
YBR008C	1647	1598	3508	107.022
YBR009C	312	263	5676.99	1052.34
YBR010W	411	362	4472.76	602.363
YBR011C	864	815	14774	883.755
YBR012W-A	1323	1274	2083.64	79.7343
YBR012W-B	5271	5222	9820.4	91.682
YBR013C	390	341	209	29.8802
YBR014C	612	563	1250	108.241
YBR015C	1794	1745	4418	123.43
YBR016W	387	338	1461	210.729
YBR017C	2757	2708	3283	59.1036
YBR018C	1101	1052	235	10.8904
YBR019C	2100	2051	1194	28.3812
YBR020W	1587	1538	485	15.3737
YBR021W	1902	1853	289	7.60351
YBR022W	534	485	354	35.5839
YBR023C	3498	3449	3403	48.1017
YBR024W	906	857	766	43.5752
YBR025C	1185	1136	9218	395.594
YBR026C	1143	1094	4549	202.717
YBR028C	1578	1529	802	25.5716
YBR029C	1374	1325	1836	67.5536
YBR030W	1659	1610	951	28.7969
YBR031W	1089	1040	66614.2	3122.66
YBR033W	2760	2711	878	15.7891
YBR034C	1047	998	270	13.1894
YBR035C	687	638	3205	244.906
YBR036C	1233	1184	5924	243.924
YBR037C	888	839	1482	86.1148
YBR038W	2892	2843	2499	42.853
YBR039W	936	887	4420	242.935
YBR040W	897	848	10	0.574905
YBR041W	2010	1961	2206	54.8428
YBR042C	1194	1145	638	27.1648
YBR043C	2070	2021	2340	56.447
YBR044C	1719	1670	1435	41.8916
YBR045C	1920	1871	874	22.7735
YBR046C	1005	956	2691	137.229
YBR047W	528	479	399	40.6096
YBR048W	471	422	6480.51	748.666
YBR049C	2433	2384	4101	83.8639
YBR050C	1017	968	1454	73.2286
YBR052C	633	584	5795	483.763
YBR053C	1077	1028	3094	146.73
YBR054W	1035	986	2500	123.61
YBR055C	2700	2651	1534	28.2103
YBR056W	1506	1457	6577	220.07
YBR056W-A	201	152	70	22.4515
YBR057C	1101	1052	1368	63.396
YBR058C	2346	2297	3046	64.6488
YBR058C-A	243	194	410	103.032
YBR059C	3327	3278	8560	127.308
YBR060C	1863	1814	1149	30.8798
YBR061C	933	884	221	12.188
YBR062C	543	494	586	57.8312
YBR063C	1215	1166	500	20.9056
YBR065C	1095	1046	510	23.7701
YBR066C	663	614	294	23.3437
YBR067C	633	584	12706	1060.69
YBR068C	1830	1781	8803	240.967
YBR069C	1860	1811	4932	132.769
YBR070C	714	665	450	32.99
YBR071W	636	587	1191	98.9157
YBR072C-A	162	113	4	1.72573
YBR072W	645	596	7632	624.286
YBR073W	2877	2828	1712	29.5132
YBR074W	2931	2882	2435	41.1905
YBR076W	1065	1016	177	8.4932
YBR077C	489	440	553	61.2723
YBR078W	1290	1241	15007	589.541
YBR079C	2895	2846	7219	123.661
YBR080C	2277	2228	4432	96.9787
YBR081C	3999	3950	2495	30.7939
YBR082C	447	398	4712	577.183
YBR083W	1461	1412	2490	85.9718
YBR084C-A	570	521	8421.28	788.011
YBR084W	2928	2879	5157	87.3267
YBR085C-A	258	209	3079	718.216
YBR085W	924	875	114	6.35168
YBR086C	2841	2792	12698	221.723
YBR087W	1065	1016	861	41.3144
YBR088C	777	728	516	34.5549
YBR089C-A	300	251	1565.92	304.15
YBR090C	369	320	79.0774	12.0474
YBR091C	330	281	100	17.3494
