target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	999	18.6784
YAL002W	3825	3776	1100	18.704
YAL003W	621	572	31771	3566.23
YAL005C	1929	1880	64103.7	2189.27
YAL007C	648	599	1433	153.601
YAL008W	597	548	344	40.3044
YAL009W	780	731	246	21.6069
YAL010C	1482	1433	340	15.2338
YAL011W	1878	1829	471	16.5341
YAL012W	1185	1136	16469	930.815
YAL013W	1218	1169	611	33.5584
YAL014C	768	719	625	55.8118
YAL015C	1200	1151	441	24.6002
YAL016W	1908	1859	3239	111.868
YAL017W	4071	4022	1718	27.4256
YAL018C	978	929	5	0.345564
YAL019W	3396	3347	2762	52.9837
YAL020C	1002	953	325	21.896
YAL021C	2514	2465	2556	66.5761
YAL022C	1554	1505	1029	43.8989
YAL023C	2280	2231	7680	221.022
YAL024C	4308	4259	892	13.4472
YAL025C	921	872	585	43.0739
YAL026C	4068	4019	3498	55.8826
YAL027W	786	737	148	12.8934
YAL028W	1587	1538	237	9.89388
YAL029C	4416	4367	3622	53.2525
YAL030W	354	305	305	64.2059
YAL031C	2283	2234	561	16.1233
YAL032C	1140	1091	438	25.7765
YAL033W	522	473	294	39.9081
YAL034C	1242	1193	416	22.3886
YAL034W-A	870	821	115	8.99351
YAL035W	3009	2960	14715	319.186
YAL036C	1110	1061	2276	137.731
YAL037C-A	93	44	1	1.45922
YAL037W	804	755	70	5.95286
YAL038W	1503	1454	194689	8597.09
YAL039C	810	761	500	42.1852
YAL040C	1743	1694	977	37.0302
YAL041W	2565	2516	1687	43.0506
YAL042W	1248	1199	3817	204.398
YAL043C	2358	2309	1453	40.4032
YAL044C	513	464	940	130.072
YAL044W-A	333	284	222	50.1891
YAL046C	357	308	209	43.5683
YAL047C	1869	1820	364	12.8412
YAL048C	1989	1940	293	9.69707
YAL049C	741	692	588	54.5564
YAL051W	3144	3095	806	16.7205
YAL053W	2352	2303	1492	41.5958
YAL054C	2142	2093	204	6.258
YAL055W	543	494	96	12.4773
YAL056W	2643	2594	947	23.4398
YAL058W	1509	1460	456	20.0533
YAL059W	639	590	476	51.8
YAL060W	1149	1100	1499	87.4951
YAL061W	1254	1205	379	20.1942
YAL062W	1374	1325	393	19.0437
YAL063C	3969	3920	371.905	6.09145
YAL063C-A	291	242	5	1.32657
YAL064C-A	381	332	41.6354	8.05192
YAL064W	285	236	12	3.2647
YAL064W-B	381	332	14.9919	2.89931
YAL065C	387	338	40.5699	7.70658
YAL067C	1782	1733	113	4.18653
YAL067W-A	228	179	10.5461	3.7828
YAL068C	363	314	1.59158	0.325441
YAR002C-A	660	611	2016	211.848
YAR002W	1620	1571	1297	53.0076
YAR003W	1281	1232	392	20.4291
YAR007C	1866	1817	1662	58.7287
YAR008W	828	779	229	18.8744
YAR009C	3591	3542	14312.6	259.444
YAR010C	1323	1274	6341.38	319.587
YAR014C	2130	2081	1266	39.0604
YAR015W	921	872	1504	110.74
YAR018C	1308	1259	394	20.093
YAR019C	2925	2876	510	11.3856
YAR020C	168	119	8	4.31636
YAR023C	540	491	82	10.7228
YAR027W	708	659	523	50.9555
YAR028W	705	656	169	16.5408
YAR029W	225	176	50	18.2403
YAR031W	897	848	182.105	13.788
YAR033W	705	656	155.214	15.1916
YAR035C-A	81	32	2	4.01287
YAR035W	2064	2015	229	7.29684
YAR042W	3567	3518	1925	35.1325
YAR050W	4614	4565	424.742	5.97391
YAR064W	300	251	13.5	3.4533
YAR066W	612	563	73.6667	8.40112
YAR068W	486	437	152.567	22.4158
YAR071W	1404	1355	304.356	14.4217
YBL001C	315	266	510	123.101
YBL002W	396	347	2987	552.688
YBL003C	399	350	2905.23	532.95
YBL004W	7482	7433	9541	82.4146
YBL005W	2931	2882	2142	47.72
YBL005W-A	1323	1274	2397.38	120.821
YBL005W-B	5268	5219	34658.6	426.381
YBL006C	543	494	621	80.7122
YBL007C	3735	3686	8964	156.142
YBL008W	2523	2474	807	20.9435
YBL008W-A	240	191	11	3.69772
YBL009W	2031	1982	656	21.2508
YBL010C	843	794	117	9.46106
YBL011W	2280	2231	3250	93.5316
YBL013W	1206	1157	157	8.71246
YBL014C	2685	2636	1029	25.0637
YBL015W	1581	1532	600	25.1459
YBL016W	1062	1013	380	24.0851
YBL017C	4740	4691	5365	73.4309
YBL018C	402	353	318	57.8398
YBL019W	1563	1514	298	12.6376
YBL020W	1725	1676	1189	45.5494
YBL021C	435	386	211	35.097
YBL022C	3402	3353	5547	106.218
YBL023C	2607	2558	1263	31.7013
YBL024W	2055	2006	3959	126.715
YBL025W	438	389	120	19.8064
YBL026W	288	239	393	105.577
YBL027W	570	521	23280.7	2869.02
YBL028C	321	272	461	108.819
YBL029C-A	285	236	105	28.5662
YBL029W	1131	1082	83	4.92522
YBL030C	957	908	3743	264.672
YBL031W	1017	968	188	12.4697
YBL032W	1146	1097	2210	129.348
YBL033C	1038	989	1867	121.206
YBL034C	4542	4493	881	12.5897
YBL035C	2118	2069	665	20.6365
YBL036C	774	725	831	73.5932
YBL037W	3078	3029	1155	24.4826
YBL038W	699	650	588	58.0816
YBL039C	1740	1691	7067	268.328
YBL039W-B	180	131	51	24.9962
YBL040C	660	611	754	79.2328
YBL041W	726	677	2022	191.764
YBL042C	1920	1871	934	32.0515
YBL043W	774	725	27	2.39111
YBL044W	369	320	3	0.60193
YBL045C	1374	1325	1878	91.0027
YBL046W	1326	1277	306	15.3853
YBL047C	4146	4097	6605	103.51
YBL049W	417	368	89	15.528
YBL050W	879	830	1030	79.6771
YBL051C	2007	1958	2703	88.6356
YBL052C	2496	2447	867	22.7489
YBL054W	1578	1529	601	25.2372
YBL055C	1257	1208	979	52.0344
YBL056W	1407	1358	2957	139.806
YBL057C	627	578	756	83.9786
YBL058W	1272	1223	2623	137.704
YBL059C-A	330	281	124	28.3328
YBL059W	582	533	129	15.5395
YBL060W	2064	2015	415	13.2235
YBL061C	2091	2042	1122	35.2786
YBL063W	3336	3287	822	16.0563
YBL064C	786	737	2178	189.743
YBL066C	3447	3398	760	14.3603
YBL067C	2244	2195	1933	56.5421
YBL068W	981	932	991	68.2704
YBL069W	1290	1241	594	30.7319
YBL071C-B	99	50	0	0
YBL071W-A	249	200	107	34.3501
YBL072C	603	554	26085.3	3023.16
YBL074C	1068	1019	278	17.5164
YBL075C	1950	1901	1024	34.5854
