"","Yorf","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","desc"
"1","YAL001C",1379.97182296282,0.0593486442846766,0.0884452331601955,0.671021401200695,0.502206896053385,0.782494805176586,"TFC3","Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)"
"2","YAL002W",1478.24165021993,0.268838544068366,0.113403493451845,2.37063723422703,0.0177574503312155,0.188287276878753,"VPS8","Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif"
"3","YAL003W",45113.6271326949,-0.00708494165414986,0.0836734933068944,-0.0846736687347806,0.932520830075927,0.979381173295823,"EFB1","Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"
"4","YAL005C",93392.3667185092,0.149237108133586,0.0938711064728744,1.58980876801224,0.11187791689152,0.449996003248349,"SSA1","ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"
"5","YAL007C",1941.17207788287,0.0653944202369887,0.103636978346053,0.630995049070523,0.528043761624784,0.79787631874946,"ERP2","Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"
"6","YAL008W",394.397356543523,-0.404890119087124,0.189141073327623,-2.14067791814732,0.0323000204414011,0.254628116128206,"FUN14","Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"
"7","YAL009W",355.834915341057,0.108814036240546,0.169116023286349,0.643428305171892,0.519946221824749,0.791610631606704,"SPO7","Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
"8","YAL010C",422.046895264245,-0.0841414967220999,0.11039254583948,-0.762202702023454,0.445939033692336,0.754069411226272,"MDM10","Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"
"9","YAL011W",628.224298182638,0.0177522523324319,0.103091547511502,0.172198912141185,0.863281153092739,0.953663302684681,"SWC3","Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
"10","YAL012W",23708.7381825103,0.178985962850472,0.118245236758824,1.51368433737028,0.130105919288271,0.47513142836859,"CYS3","Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"
"11","YAL013W",713.796422316861,-0.595079325918936,0.145492069979171,-4.09011519324819,4.31158996581442e-05,0.0030170578881319,"DEP1","Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
"12","YAL014C",746.451458093559,-0.214757005202289,0.103471301896884,-2.07552240346128,0.037938144714371,0.276348362436853,"SYN8","Endosomal SNARE related to mammalian syntaxin 8"
