target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	2218	40.6551
YAL002W	3825	3776	2354	39.24
YAL003W	621	572	17954	1975.69
YAL005C	1929	1880	164910	5521.32
YAL007C	648	599	994	104.451
YAL008W	597	548	507	58.2347
YAL009W	780	731	388	33.4094
YAL010C	1482	1433	617	27.1015
YAL011W	1878	1829	545	18.7559
YAL012W	1185	1136	8268	458.117
YAL013W	1218	1169	888	47.8137
YAL014C	768	719	741	64.8699
YAL015C	1200	1151	540	29.5306
YAL016W	1908	1859	4737	160.39
YAL017W	4071	4022	6956	108.861
YAL018C	978	929	27	1.82937
YAL019W	3396	3347	984	18.5052
YAL020C	1002	953	504	33.2883
YAL021C	2514	2465	3205	81.8399
YAL022C	1554	1505	1357	56.7541
YAL023C	2280	2231	7079	199.722
YAL024C	4308	4259	938	13.8628
YAL025C	921	872	95	6.85743
YAL026C	4068	4019	2423	37.9481
YAL027W	786	737	272	23.2303
YAL028W	1587	1538	1580	64.6629
YAL029C	4416	4367	2550	36.7546
YAL030W	354	305	325	67.0715
YAL031C	2283	2234	1966	55.393
YAL032C	1140	1091	898	51.8091
YAL033W	522	473	178	23.6872
YAL034C	1242	1193	2241	118.238
YAL034W-A	870	821	206	15.7935
YAL035W	3009	2960	6756	143.665
YAL036C	1110	1061	907	53.8079
YAL037C-A	93	44	1	1.43055
YAL037W	804	755	59	4.9188
YAL038W	1503	1454	293206	12693
YAL039C	810	761	1596	132.009
YAL040C	1743	1694	1842	68.4432
YAL041W	2565	2516	2403	60.117
YAL042W	1248	1199	3774	198.124
YAL043C	2358	2309	2739	74.6659
YAL044C	513	464	432	58.603
YAL044W-A	333	284	184	40.7806
YAL046C	357	308	157	32.0851
YAL047C	1869	1820	457	15.8052
YAL048C	1989	1940	744	24.1393
YAL049C	741	692	724	65.8547
YAL051W	3144	3095	1579	32.1126
YAL053W	2352	2303	2225	60.8121
YAL054C	2142	2093	7501	225.582
YAL055W	543	494	198	25.2286
YAL056W	2643	2594	2041	49.5253
YAL058W	1509	1460	500	21.5562
YAL059W	639	590	130	13.869
YAL060W	1149	1100	7500	429.164
YAL061W	1254	1205	12238	639.26
YAL062W	1374	1325	1141	54.2031
YAL063C	3969	3920	885.095	14.2121
YAL063C-A	291	242	22	5.72218
YAL064C-A	381	332	101.45	19.2339
YAL064W	285	236	18	4.80081
YAL064W-B	381	332	49.3858	9.36307
YAL065C	387	338	67.3109	12.535
YAL067C	1782	1733	111	4.03161
YAL067W-A	228	179	20.0052	7.03467
YAL068C	363	314	12.7512	2.55608
YAR002C-A	660	611	1492	153.703
YAR002W	1620	1571	998	39.9861
YAR003W	1281	1232	648	33.1069
YAR007C	1866	1817	1924	66.6506
YAR008W	828	779	100	8.0801
YAR009C	3591	3542	22947.6	407.796
YAR010C	1323	1274	7921.28	391.363
YAR014C	2130	2081	1477	44.6748
YAR015W	921	872	1251	90.3015
YAR018C	1308	1259	391	19.5481
YAR019C	2925	2876	1533	33.5512
YAR020C	168	119	40.5726	21.4605
YAR023C	540	491	267	34.2282
YAR027W	708	659	1372	131.046
YAR028W	705	656	332	31.8558
YAR029W	225	176	54	19.3124
YAR031W	897	848	194.21	14.4155
YAR033W	705	656	198	18.9983
YAR035C-A	81	32	2	3.934
YAR035W	2064	2015	745	23.2721
YAR042W	3567	3518	4894	87.5633
YAR050W	4614	4565	872.398	12.029
YAR064W	300	251	71.6102	17.9579
YAR066W	612	563	184.659	20.6451
YAR068W	486	437	378.765	54.556
YAR071W	1404	1355	397.199	18.4511
YBL001C	315	266	445	105.301
YBL002W	396	347	2872.44	521.046
YBL003C	399	350	2571.84	462.52
YBL004W	7482	7433	2068	17.5122
YBL005W	2931	2882	3174	69.3214
YBL005W-A	1323	1274	6467	319.512
YBL005W-B	5268	5219	47701.3	575.303
YBL006C	543	494	1103	140.541
YBL007C	3735	3686	13410	228.996
YBL008W	2523	2474	476	12.1105
YBL008W-A	240	191	2	0.659099
YBL009W	2031	1982	338	10.7341
YBL010C	843	794	215	17.044
YBL011W	2280	2231	4914	138.64
YBL013W	1206	1157	392	21.3259
YBL014C	2685	2636	1179	28.1529
YBL015W	1581	1532	3121	128.23
YBL016W	1062	1013	334	20.7535
YBL017C	4740	4691	7391	99.1727
YBL018C	402	353	105	18.7227
YBL019W	1563	1514	621	25.8178
YBL020W	1725	1676	995	37.3683
YBL021C	435	386	243	39.6254
YBL022C	3402	3353	6039	113.367
YBL023C	2607	2558	1020	25.0989
YBL024W	2055	2006	1187	37.2455
YBL025W	438	389	143	23.1388
YBL026W	288	239	322	84.8032
YBL027W	570	521	11009.6	1330.12
YBL028C	321	272	78	18.0501
YBL029C-A	285	236	361	96.283
YBL029W	1131	1082	184	10.704
YBL030C	957	908	6743	467.435
YBL031W	1017	968	183	11.8995
YBL032W	1146	1097	1915	109.879
YBL033C	1038	989	2869	182.595
YBL034C	4542	4493	902	12.6364
YBL035C	2118	2069	582	17.7058
YBL036C	774	725	466	40.4578
YBL037W	3078	3029	1485	30.859
YBL038W	699	650	819	79.3094
YBL039C	1740	1691	1445	53.7871
YBL039W-B	180	131	24	11.5317
YBL040C	660	611	766	78.9118
YBL041W	726	677	2431	226.022
YBL042C	1920	1871	687	23.112
YBL043W	774	725	99	8.59511
YBL044W	369	320	18	3.5406
YBL045C	1374	1325	6341	301.229
YBL046W	1326	1277	597	29.4264
YBL047C	4146	4097	11327	174.022
YBL049W	417	368	148	25.3144
YBL050W	879	830	1590	120.579
YBL051C	2007	1958	2438	78.3746
YBL052C	2496	2447	725	18.6491
YBL054W	1578	1529	280	11.5267
YBL055C	1257	1208	693	36.1094
YBL056W	1407	1358	3991	184.985
YBL057C	627	578	402	43.7776
YBL058W	1272	1223	3423	176.171
YBL059C-A	330	281	142	31.808
YBL059W	582	533	148	17.4779
YBL060W	2064	2015	391	12.2139
YBL061C	2091	2042	1009	31.1021
YBL063W	3336	3287	804	15.3961
YBL064C	786	737	4790	409.093
YBL066C	3447	3398	1485	27.5079
YBL067C	2244	2195	2762	79.2033
YBL068W	981	932	509	34.3761
YBL069W	1290	1241	446	22.6213
YBL071C-B	99	50	2	2.51776
YBL071W-A	249	200	50	15.736
YBL072C	603	554	15550.3	1766.78
YBL074C	1068	1019	375	23.1639
YBL075C	1950	1901	1355	44.8654
YBL076C	3219	3170	14615	290.198
YBL078C	354	305	370	76.3583
YBL079W	4509	4460	3053	43.087
YBL080C	1626	1577	801	31.9709
YBL081W	1107	1058	277.125	16.4871
YBL082C	1377	1328	829	39.2926
YBL084C	2277	2228	1065.75	30.1087
YBL085W	2943	2894	3059	66.5327
YBL086C	1401	1352	2099	97.7215
YBL087C	414	365	3844.37	662.959
YBL088C	8364	8315	2831	21.4305
YBL089W	1380	1331	643	30.4079
YBL090W	534	485	421	54.638
YBL091C	1266	1217	3142	162.506
YBL091C-A	528	479	610	80.1583
YBL092W	393	344	12176	2227.92
YBL093C	663	614	539	55.2554
YBL095W	813	764	579	47.7023
YBL097W	2265	2216	525	14.9123
YBL098W	1383	1334	266	12.551
YBL099W	1638	1589	17981	712.269
YBL100W-A	1317	1268	0	0
YBL100W-B	5313	5264	1980.95	23.6871
YBL100W-C	120	71	15	13.298
YBL101C	3354	3305	5298	100.901
YBL102W	648	599	1171	123.051
YBL103C	1461	1412	944	42.0815
YBL104C	3117	3068	1102	22.609
YBL105C	3456	3407	3335	61.6138
YBL106C	3033	2984	749	15.7993
YBL107C	591	542	177	20.5555
