target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	1537	19.3304
YAL002W	3825	3776	1776	20.3132
YAL003W	621	572	47057	3553.01
YAL005C	1929	1880	94406.6	2168.77
YAL007C	648	599	2264	163.237
YAL008W	597	548	373	29.3966
YAL009W	780	731	453	26.7639
YAL010C	1482	1433	437	13.1705
YAL011W	1878	1829	629	14.8527
YAL012W	1185	1136	24392	927.337
YAL013W	1218	1169	596	22.0191
YAL014C	768	719	678	40.7258
YAL015C	1200	1151	605	22.7012
YAL016W	1908	1859	4771	110.84
YAL017W	4071	4022	2176	23.366
YAL018C	978	929	5	0.232446
YAL019W	3396	3347	3736	48.208
YAL020C	1002	953	452	20.484
YAL021C	2514	2465	3823	66.9816
YAL022C	1554	1505	1710	49.0713
YAL023C	2280	2231	15567	301.352
YAL024C	4308	4259	1257	12.7466
YAL025C	921	872	1022	50.6177
YAL026C	4068	4019	6494	69.7851
YAL027W	786	737	191	11.1927
YAL028W	1587	1538	242	6.79559
YAL029C	4416	4367	5583	55.2145
YAL030W	354	305	310	43.8965
YAL031C	2283	2234	761	14.7119
YAL032C	1140	1091	664	26.2852
YAL033W	522	473	469	42.8233
YAL034C	1242	1193	487	17.6302
YAL034W-A	870	821	153	8.04853
YAL035W	3009	2960	23082	336.783
YAL036C	1110	1061	3520	143.283
YAL037C-A	93	44	7	6.8709
YAL037W	804	755	103	5.89194
YAL038W	1503	1454	287419	8537.28
YAL039C	810	761	638	36.208
YAL040C	1743	1694	1602	40.843
YAL041W	2565	2516	2378	40.8197
YAL042W	1248	1199	6458	232.62
YAL043C	2358	2309	2234	41.7857
YAL044C	513	464	1250	116.348
YAL044W-A	333	284	272	41.3637
YAL046C	357	308	288	40.3841
YAL047C	1869	1820	464	11.0107
YAL048C	1989	1940	444	9.88438
YAL049C	741	692	710	44.3119
YAL051W	3144	3095	1298	18.1127
YAL053W	2352	2303	2791	52.3401
YAL054C	2142	2093	301	6.21106
YAL055W	543	494	152	13.2888
YAL056W	2643	2594	1357	22.5932
YAL058W	1509	1460	905	26.771
YAL059W	639	590	737	53.9491
YAL060W	1149	1100	1616	63.4479
YAL061W	1254	1205	401	14.3723
YAL062W	1374	1325	585	19.0681
YAL063C	3969	3920	417.102	4.59542
YAL063C-A	291	242	17	3.0339
YAL064C-A	381	332	32.1241	4.17889
YAL064W	285	236	7	1.28102
YAL064W-B	381	332	18.987	2.46994
YAL065C	387	338	36.9757	4.72464
YAL067C	1782	1733	135	3.36437
YAL067W-A	228	179	21.2396	5.12461
YAL068C	363	314	0	0
YAR002C-A	660	611	3417	241.531
YAR002W	1620	1571	1831	50.3362
YAR003W	1281	1232	609	21.3489
YAR007C	1866	1817	2183	51.888
YAR008W	828	779	295	16.3551
YAR009C	3591	3542	28963.4	353.159
YAR010C	1323	1274	5837.96	197.906
YAR014C	2130	2081	1698	35.2398
YAR015W	921	872	1930	95.5893
YAR018C	1308	1259	554	19.0043
YAR019C	2925	2876	615	9.23538
YAR020C	168	119	29	10.5249
YAR023C	540	491	79	6.94887
YAR027W	708	659	751	49.2179
YAR028W	705	656	255	16.7882
YAR029W	225	176	69	16.9319
YAR031W	897	848	266.062	13.5505
YAR033W	705	656	220.685	14.5291
YAR035C-A	81	32	7	9.44749
YAR035W	2064	2015	300	6.43005
YAR042W	3567	3518	2794	34.3004
YAR050W	4614	4565	509.286	4.81825
YAR064W	300	251	11.25	1.93574
YAR066W	612	563	50.7273	3.89136
YAR068W	486	437	179.472	17.7371
YAR071W	1404	1355	368.658	11.7504
YBL001C	315	266	649	105.374
YBL002W	396	347	4595.48	571.965
YBL003C	399	350	5080.85	626.956
YBL004W	7482	7433	15925	92.5302
YBL005W	2931	2882	3095	46.3805
YBL005W-A	1323	1274	3570.91	121.054
YBL005W-B	5268	5219	51630.2	427.253
YBL006C	543	494	707	61.8103
YBL007C	3735	3686	16896	197.969
YBL008W	2523	2474	1094	19.0979
YBL008W-A	240	191	20	4.52236
YBL009W	2031	1982	1097	23.904
YBL010C	843	794	182	9.89964
YBL011W	2280	2231	5234	101.322
YBL013W	1206	1157	201	7.50293
YBL014C	2685	2636	1487	24.3632
YBL015W	1581	1532	764	21.5379
YBL016W	1062	1013	521	22.2125
YBL017C	4740	4691	10035	92.389
YBL018C	402	353	483	59.0936
YBL019W	1563	1514	370	10.5547
YBL020W	1725	1676	2149	55.3772
YBL021C	435	386	301	33.6781
YBL022C	3402	3353	7936	102.22
YBL023C	2607	2558	2022	34.1389
YBL024W	2055	2006	5800	124.872
YBL025W	438	389	117	12.9899
YBL026W	288	239	657	118.723
YBL027W	570	521	34190.6	2834.25
YBL028C	321	272	720	114.323
YBL029C-A	285	236	114	20.8623
YBL029W	1131	1082	112	4.47053
YBL030C	957	908	6942	330.192
YBL031W	1017	968	240	10.7079
YBL032W	1146	1097	2904	114.33
YBL033C	1038	989	2551	111.399
YBL034C	4542	4493	1514	14.5532
YBL035C	2118	2069	1034	21.5838
YBL036C	774	725	1205	71.7823
YBL037W	3078	3029	1511	21.5444
YBL038W	699	650	886	58.8693
YBL039C	1740	1691	10996	280.84
YBL039W-B	180	131	46	15.1654
YBL040C	660	611	1149	81.217
YBL041W	726	677	2775	177.028
YBL042C	1920	1871	1742	40.2108
YBL043W	774	725	18	1.07227
YBL044W	369	320	3	0.404892
YBL045C	1374	1325	2985	97.2964
YBL046W	1326	1277	342	11.5665
YBL047C	4146	4097	13237	139.538
YBL049W	417	368	122	14.3179
YBL050W	879	830	1470	76.4905
YBL051C	2007	1958	4580	101.023
YBL052C	2496	2447	1197	21.1265
YBL054W	1578	1529	1033	29.1784
YBL055C	1257	1208	1177	42.0802
YBL056W	1407	1358	3973	126.353
YBL057C	627	578	1036	77.4106
YBL058W	1272	1223	3399	120.031
YBL059C-A	330	281	180	27.6652
YBL059W	582	533	128	10.3717
YBL060W	2064	2015	550	11.7884
YBL061C	2091	2042	1427	30.1812
YBL063W	3336	3287	840	11.0369
YBL064C	786	737	2388	139.938
YBL066C	3447	3398	1163	14.7817
YBL067C	2244	2195	3661	72.0333
YBL068W	981	932	1367	63.3463
YBL069W	1290	1241	852	29.6508
YBL071C-B	99	50	3	2.59131
YBL071W-A	249	200	176	38.0059
YBL072C	603	554	42726.4	3330.85
YBL074C	1068	1019	338	14.3255
YBL075C	1950	1901	1178	26.7628
YBL076C	3219	3170	41245	561.928
YBL078C	354	305	81	11.4697
YBL079W	4509	4460	6157	59.6215
YBL080C	1626	1577	398	10.8998
YBL081W	1107	1058	709	28.942
YBL082C	1377	1328	1642	53.4003
YBL084C	2277	2228	668.524	12.959
YBL085W	2943	2894	2683	40.0397
YBL086C	1401	1352	451	14.4068
